TYPE,START DATE,END DATE,USAGE (kWh),COST
Electric billing,6/12/2024,7/9/2024,"1,468.00",$214.31 
Electric billing,7/10/2024,8/9/2024,"2,296.00",$335.19 
Electric billing,8/10/2024,9/9/2024,"1,750.00",$255.48 
Electric billing,9/10/2024,10/10/2024,"1,536.00",$221.17 
Electric billing,10/11/2024,11/8/2024,"1,220.00",$175.67 
Electric billing,11/9/2024,12/8/2024,"1,243.00",$187.68 
Electric billing,12/9/2024,1/8/2025,"1,440.00",$217.43 
Electric billing,1/9/2025,2/7/2025,"1,485.00",$224.22 
Electric billing,2/8/2025,3/9/2025,"1,392.00",$210.18 
Electric billing,3/10/2025,4/8/2025,"1,356.00",$204.74 
Electric billing,4/9/2025,5/8/2025,"1,463.00",$220.90 
Electric billing,5/9/2025,6/7/2025,"1,560.00",$266.71 
