TYPE,START DATE,USAGE (kWh),COST
Electric billing,6/1/24,"1,468.00",$214.31 
Electric billing,7/1/24,"2,296.00",$335.19 
Electric billing,8/1/24,"1,750.00",$255.48 
Electric billing,9/1/24,"1,536.00",$221.17 
Electric billing,10/1/24,"1,220.00",$175.67 
Electric billing,11/1/24,"1,243.00",$187.68 
Electric billing,12/1/24,"1,440.00",$217.43 
Electric billing,1/1/25,"1,485.00",$224.22 
Electric billing,2/1/25,"1,392.00",$210.18 
Electric billing,3/1/25,"1,356.00",$204.74 
Electric billing,4/1/25,"1,463.00",$220.90 
Electric billing,5/1/25,"1,560.00",$266.71 
Electric billing,6/1/25,"2,367.00",$404.69 
